Start date,End date,Duration [d],Mean catchment precipitation depth - IMERG [mm],Mean catchment precipitation depth - ERA5 [mm],Centre of mass coordinate - IMERG [°N/°E],Centre of mass coordinate - ERA5 [°N/°E],Maximum precipitation coordinate - IMERG [°N/°E],Maximum precipitation coordinate - ERA5 [°N/°E]
20080921_00,20080922_00,1,8.1,0.8,32.15/-2.35,32/-2.5,32.05/-3.75,32.5/-2.5
20080929_00,20080930_00,1,4,1.8,32.05/-1.75,31/-1,32.35/-0.35,32.5/-0.5
20081003_00,20081004_00,1,1.9,0,31.45/-1.25,31/-0.5,30.85/-2.95,31.5/-0.5
20081005_00,20081006_00,1,4.2,0.1,31.45/-2.95,32/-3,31.45/-2.95,31.5/-3.5
20081008_00,20081011_00,3,60.8,33.7,31.75/-1.95,32/-2,31.75/-1.85,32.5/-4
20081012_00,20081016_00,4,28.3,14.1,31.65/-1.95,31.5/-2,32.75/-0.25,32/-2.5
20081019_00,20081022_00,3,27.2,12.6,31.55/-2.05,32/-2,32.55/-3.95,32/-3.5
20081023_00,20081026_00,3,21.6,20.8,31.45/-1.45,32/-1.5,31.35/-0.35,32.5/-0.5
20081028_00,20081029_00,1,1.2,0.5,32.55/-2.45,32.5/-2.5,32.45/-3.35,32.5/-3
20081120_00,20081121_00,1,9.8,6.2,32.05/-2.55,32/-2.5,31.85/-2.35,32/-3.5
20081122_00,20081123_00,1,2.5,0.4,31.55/-1.65,32/-1.5,32.85/-2.25,32.5/-2
20081210_00,20081211_00,1,3.3,2.9,31.65/-1.85,32/-1.5,31.05/-2.65,32.5/-1
20081231_00,20090102_00,2,7.8,4.7,32.15/-2.45,32/-3,32.95/-2.85,32.5/-3
20090110_00,20090112_00,2,3.4,6.4,31.05/-2.25,31.5/-2.5,30.35/-2.65,32.5/-3.5
20090120_00,20090121_00,1,7.1,4.2,31.15/-1.65,31.5/-1.5,31.95/-2.45,30.5/-1.5
20090309_00,20090310_00,1,1.7,0.2,31.75/-2.35,32/-2,30.75/-2.75,32.5/-1.5
20090321_00,20090322_00,1,3.5,1.2,31.75/-1.85,32/-3,31.55/-0.45,32.5/-3.5
20090327_00,20090329_00,2,48.6,22.8,31.45/-1.95,31.5/-2,31.05/-2.45,31.5/-2
20090410_00,20090411_00,1,1.6,0.3,32.45/-2.35,32/-2,32.55/-1.25,32.5/-4
20090902_00,20090903_00,1,5.2,0.1,31.85/-2.65,32/-2.5,31.45/-3.15,32.5/-1.5
20090906_00,20090909_00,3,19.1,2.6,31.35/-1.65,32/-2,32.15/-0.95,32.5/-1
20090910_00,20090912_00,2,13.2,5.6,31.95/-1.75,32/-2,32.75/-0.75,32.5/-1
20090913_00,20090916_00,3,13.7,9,32.05/-2.05,32/-3,32.35/-0.85,32.5/-4
20090925_00,20090927_00,2,18.3,3.5,31.95/-2.25,31.5/-2,32.65/-2.85,32/-3.5
20091225_00,20091226_00,1,1.5,0.2,32.25/-2.85,32/-2.5,32.35/-4.05,32/-2.5
20100107_00,20100108_00,1,2.9,1.2,31.75/-1.65,32/-2,31.35/-0.45,32.5/-1
20100215_00,20100216_00,1,4.8,3.5,32.15/-2.05,32/-2,32.75/-3.15,32.5/-2.5
